Date,Open,High,Low,Settle,Volume,Open Interest
2016-12-09,0.0,0.0,0.0,147.91,0.0,0.0
2016-12-12,0.0,0.0,0.0,147.09,0.0,0.0
2016-12-13,0.0,0.0,0.0,148.1,0.0,0.0
2016-12-14,0.0,0.0,0.0,148.4,0.0,0.0
2016-12-15,0.0,0.0,0.0,147.8,0.0,0.0
2016-12-16,0.0,0.0,0.0,147.93,0.0,0.0
2016-12-19,0.0,0.0,0.0,148.89,0.0,0.0
2016-12-20,0.0,0.0,0.0,148.82,0.0,0.0
2016-12-21,0.0,0.0,0.0,149.06,0.0,0.0
2016-12-22,0.0,0.0,0.0,148.69,0.0,0.0
2016-12-23,0.0,0.0,0.0,149.04,0.0,0.0
2016-12-27,0.0,0.0,0.0,149.73,0.0,0.0
2016-12-28,0.0,0.0,0.0,149.28,0.0,0.0
2016-12-29,0.0,0.0,0.0,149.75,0.0,0.0
2016-12-30,0.0,0.0,0.0,149.3,0.0,0.0
2017-01-02,0.0,0.0,0.0,149.53,0.0,0.0
2017-01-03,0.0,0.0,0.0,148.04,0.0,0.0
2017-01-04,0.0,0.0,0.0,147.88,0.0,0.0
2017-01-05,0.0,0.0,0.0,148.04,0.0,0.0
2017-01-06,0.0,0.0,0.0,147.65,0.0,0.0
2017-01-09,0.0,0.0,0.0,147.81,0.0,0.0
2017-01-10,0.0,0.0,0.0,148.28,0.0,0.0
2017-01-11,0.0,0.0,0.0,148.61,0.0,0.0
2017-01-12,0.0,0.0,0.0,148.78,0.0,0.0
2017-01-13,0.0,0.0,0.0,148.32,0.0,0.0
2017-01-16,0.0,0.0,0.0,148.31,0.0,0.0
2017-01-17,0.0,0.0,0.0,148.73,0.0,0.0
2017-01-18,0.0,0.0,0.0,148.27,0.0,0.0
2017-01-19,0.0,0.0,0.0,145.3,0.0,0.0
2017-01-20,144.09,144.09,144.09,143.31,1.0,1.0
2017-01-23,0.0,0.0,0.0,143.87,0.0,1.0
2017-01-24,0.0,0.0,0.0,144.72,0.0,1.0
2017-01-25,0.0,0.0,0.0,143.67,0.0,1.0
2017-01-26,0.0,0.0,0.0,142.91,0.0,1.0
2017-01-27,143.5,143.5,143.5,143.29,1.0,2.0
2017-01-30,0.0,0.0,0.0,143.07,0.0,2.0
2017-01-31,0.0,0.0,0.0,143.17,0.0,2.0
2017-02-01,0.0,0.0,0.0,142.47,0.0,0.0
2017-02-02,0.0,0.0,0.0,143.21,0.0,2.0
2017-02-03,0.0,0.0,0.0,142.77,0.0,2.0
2017-02-06,0.0,0.0,0.0,142.09,0.0,2.0
2017-02-07,0.0,0.0,0.0,142.53,0.0,2.0
2017-02-08,0.0,0.0,0.0,143.65,0.0,2.0
2017-02-09,0.0,0.0,0.0,144.04,0.0,2.0
2017-02-10,0.0,0.0,0.0,143.28,0.0,2.0
2017-02-13,0.0,0.0,0.0,143.5,0.0,2.0
2017-02-14,0.0,0.0,0.0,143.29,0.0,2.0
2017-02-15,0.0,0.0,0.0,143.17,0.0,2.0
2017-02-16,0.0,0.0,0.0,143.86,0.0,2.0
2017-02-17,0.0,0.0,0.0,143.48,0.0,2.0
2017-02-20,0.0,0.0,0.0,143.45,0.0,2.0
2017-02-21,0.0,0.0,0.0,142.92,0.0,2.0
2017-02-22,0.0,0.0,0.0,143.56,0.0,2.0
2017-02-23,0.0,0.0,0.0,144.18,0.0,2.0
2017-02-24,0.0,0.0,0.0,144.91,0.0,2.0
2017-02-27,0.0,0.0,0.0,145.25,0.0,2.0
2017-02-28,0.0,0.0,0.0,145.25,0.0,2.0
2017-03-01,0.0,0.0,0.0,144.8,0.0,2.0
2017-03-02,0.0,0.0,0.0,145.0,0.0,2.0
2017-03-03,0.0,0.0,0.0,144.59,0.0,2.0
2017-03-06,0.0,0.0,0.0,144.41,0.0,2.0
2017-03-07,0.0,0.0,0.0,144.38,0.0,2.0
2017-03-08,0.0,0.0,0.0,143.55,0.0,2.0
2017-03-09,0.0,0.0,0.0,143.23,0.0,2.0
2017-03-10,143.1,143.1,142.75,143.03,2.0,3.0
2017-03-13,0.0,0.0,0.0,143.32,0.0,3.0
2017-03-14,143.1,143.1,142.79,143.14,2.0,4.0
2017-03-15,143.41,143.78,143.4,143.85,201.0,204.0
2017-03-16,143.15,143.32,143.15,143.33,152.0,355.0
2017-03-17,0.0,0.0,0.0,143.12,0.0,353.0
2017-03-20,0.0,0.0,0.0,143.1,0.0,353.0
2017-03-21,142.94,142.94,142.94,143.26,100.0,453.0
2017-03-22,0.0,0.0,0.0,143.89,581.0,1034.0
2017-03-23,144.14,144.38,144.14,144.06,200.0,1234.0
2017-03-24,0.0,0.0,0.0,144.59,0.0,1234.0
2017-03-27,145.0,145.0,144.78,144.7,191.0,1425.0
2017-03-28,144.97,144.98,144.97,145.03,100.0,1524.0
2017-03-29,144.88,145.09,144.88,145.32,202.0,1726.0
2017-03-30,145.43,145.45,145.14,145.3,541.0,2267.0
2017-03-31,145.15,145.15,144.99,144.93,1070.0,3337.0
2017-04-03,144.92,144.93,144.92,145.06,38.0,3375.0
2017-04-04,145.33,145.77,145.33,145.59,300.0,3656.0
2017-04-05,145.44,145.44,145.42,145.47,100.0,3756.0
2017-04-06,145.58,145.6,145.58,145.68,150.0,3906.0
2017-04-07,145.92,145.92,145.92,145.94,10.0,3916.0
2017-04-10,145.62,145.62,145.2,145.33,300.0,4196.0
2017-04-11,144.96,144.96,144.95,145.13,100.0,4216.0
2017-04-12,145.17,145.5,144.89,145.46,325.0,4391.0
2017-04-13,145.88,145.88,145.68,145.67,1052.0,5128.0
2017-04-18,145.89,146.0,145.61,145.69,500.0,5528.0
2017-04-19,145.78,146.03,145.67,145.82,926.0,5444.0
2017-04-20,0.0,0.0,0.0,146.23,0.0,4943.0
2017-04-21,146.14,146.6,146.08,145.85,413.0,5056.0
2017-04-24,147.39,147.46,147.34,147.62,7.0,4660.0
2017-04-25,147.0,147.0,146.86,147.01,8.0,4667.0
2017-04-26,146.95,147.01,146.92,147.07,430.0,5092.0
2017-04-27,147.14,147.84,147.14,147.9,812.0,5784.0
2017-04-28,147.44,147.6,147.4,147.7,1667.0,7447.0
