Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-12-20,,,,,,147.53125,0.0,0.0
2016-12-21,,,,,0.53125,148.0625,0.0,0.0
2016-12-22,,,,,0.5625,147.5,0.0,0.0
2016-12-23,,,,,0.3125,147.8125,0.0,0.0
2016-12-27,,,,,0.5625,147.25,0.0,0.0
2016-12-28,,,,,1.1875,148.4375,0.0,0.0
2016-12-29,,,,,0.1875,148.625,0.0,0.0
2016-12-30,,,,,0.75,149.375,0.0,0.0
2017-01-03,,,,,0.09375,149.28125,0.0,0.0
2017-01-04,,,,,0.0625,149.34375,0.0,0.0
2017-01-05,,,,,1.84375,151.1875,0.0,0.0
2017-01-06,,,150.65625,150.65625,0.71875,150.46875,0.0,0.0
2017-01-09,,,,,1.03125,151.5,0.0,0.0
2017-01-10,,,,,0.21875,151.28125,0.0,0.0
2017-01-11,,,,,0.25,151.53125,0.0,0.0
2017-01-12,,,,,0.21875,151.3125,0.0,0.0
2017-01-13,,,151.0,151.0,0.3125,151.0,0.0,0.0
2017-01-17,,,,,1.03125,152.03125,0.0,0.0
2017-01-18,,,,,1.28125,150.75,0.0,0.0
2017-01-19,,,,,0.96875,149.78125,0.0,0.0
2017-01-20,,,,,0.28125,149.5,0.0,0.0
2017-01-23,,150.90625,,150.90625,1.25,150.75,0.0,0.0
2017-01-24,,,,,1.40625,149.34375,0.0,0.0
2017-01-25,,,,,1.125,148.21875,0.0,0.0
2017-01-26,,,,,0.34375,148.5625,0.0,0.0
2017-01-27,,,,,0.59375,149.15625,0.0,0.0
2017-01-30,,,,,0.125,149.03125,0.0,0.0
2017-01-31,,,,,0.5625,149.59375,0.0,0.0
2017-02-01,,,,,0.40625,149.1875,0.0,0.0
2017-02-02,,,,,0.09375,149.28125,0.0,0.0
2017-02-03,,,,,0.53125,148.75,0.0,0.0
2017-02-06,,,,,1.5,150.25,0.0,0.0
2017-02-07,,,,,0.65625,150.90625,0.0,0.0
2017-02-08,,,,,1.125,152.03125,0.0,0.0
2017-02-09,,,,,1.09375,150.9375,0.0,0.0
2017-02-10,,,,,0.28125,150.65625,0.0,0.0
2017-02-13,,,,,0.53125,150.125,0.0,0.0
2017-02-14,,,,,0.75,149.375,0.0,0.0
2017-02-15,,,,,0.6875,148.6875,0.0,0.0
2017-02-16,,,,,0.875,149.5625,0.0,0.0
2017-02-17,,,,,0.4375,150.0,0.0,0.0
2017-02-21,,,,,0.0625,150.0625,0.0,0.0
2017-02-22,,,,,0.0625,150.125,0.0,0.0
2017-02-23,,,,,0.4375,150.5625,0.0,0.0
2017-02-24,,150.65625,,150.65625,1.40625,151.96875,0.0,0.0
2017-02-27,,,,,0.59375,151.375,0.0,0.0
2017-02-28,,,,,0.28125,151.65625,0.0,0.0
2017-03-01,,,151.03125,151.03125,2.21875,149.4375,0.0,0.0
2017-03-02,,,148.9375,148.9375,0.34375,149.09375,0.0,0.0
2017-03-03,149.1875,149.1875,149.1875,149.1875,0.15625,149.25,3.0,0.0
2017-03-06,,,148.0,148.0,0.75,148.5,0.0,2.0
2017-03-07,,,147.9375,147.9375,0.5625,147.9375,0.0,2.0
2017-03-08,,,147.0,147.0,1.0,146.9375,0.0,2.0
2017-03-09,,,146.6875,146.6875,1.125,145.8125,0.0,2.0
2017-03-10,,,,,0.03125,145.84375,0.0,2.0
2017-03-13,,,144.75,144.75,0.625,145.21875,0.0,2.0
2017-03-14,,,,,0.46875,145.6875,0.0,2.0
2017-03-15,,,,,1.4375,147.125,0.0,2.0
2017-03-16,,,146.8125,146.8125,0.40625,146.71875,0.0,2.0
2017-03-17,,,,,0.5625,147.28125,0.0,2.0
2017-03-20,,,,,0.5625,147.84375,0.0,2.0
2017-03-21,148.0,148.40625,148.0,148.40625,0.90625,148.75,8.0,2.0
2017-03-22,,149.25,,149.25,0.875,149.625,0.0,10.0
2017-03-23,149.65625,150.0,149.09375,149.46875,0.1875,149.4375,47.0,10.0
2017-03-24,149.15625,150.0,149.15625,149.5,0.4375,149.875,2.0,49.0
2017-03-27,150.6875,150.75,149.71875,150.21875,0.375,150.25,21.0,51.0
2017-03-28,149.375,150.59375,149.3125,149.3125,0.6875,149.5625,1.0,54.0
2017-03-29,149.25,150.09375,149.25,150.0625,0.4375,150.0,11.0,54.0
